year,id
1995.0,23867
1996.0,26032
1997.0,29787
1998.0,32374
1999.0,37689
2000.0,44961
2001.0,48019
2002.0,58074
2003.0,66971
2004.0,84635
2005.0,99730
2006.0,116491
2007.0,123126
2008.0,134880
2009.0,148878
2010.0,149373
2011.0,151952
2012.0,163892
2013.0,167606
2014.0,180122
2015.0,191981
2016.0,208862
2017.0,222121
2018.0,239604
2019.0,96937
2020.0,10420
